"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),피해 경험률,피해 경험률,피해 경험률,사이버 언어폭력,사이버 언어폭력,사이버 언어폭력,사이버 명예훼손,사이버 명예훼손,사이버 명예훼손,사이버 스토킹,사이버 스토킹,사이버 스토킹,사이버 성폭력,사이버 성폭력,사이버 성폭력,신상정보 유출,신상정보 유출,신상정보 유출,사이버 따돌림,사이버 따돌림,사이버 따돌림,사이버 갈취,사이버 갈취,사이버 갈취,사이버 강요,사이버 강요,사이버 강요
"특성별(1)",특성별(2),원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"인터넷 이용 시간별",1~2시간 미만,33.0,12.0,57.1,27.7,13.8,99.3,13.4,2.9,27.6,5.1,-2.6,-33.8,4.2,-0.9,-17.6,4.5,0.7,18.4,4.9,1.4,40.0,3.6,0.8,28.6,3.2,0.6,23.1
"인터넷 이용 시간별",2~3시간 미만,36.0,11.7,48.1,31.9,14.8,86.5,15.3,4.4,40.4,7.0,-2.6,-27.1,5.5,-0.2,-3.5,5.0,0.3,6.4,4.7,0.5,11.9,4.2,-0.3,-6.7,4.0,-0.3,-7.0
"인터넷 이용 시간별",3~5시간 미만,40.7,,,37.0,,,16.8,,,8.5,,,6.2,,,6.0,,,5.1,,,4.6,,,3.7,,
"인터넷 이용 시간별",5시간 이상,43.3,,,39.3,,,20.2,,,10.5,,,8.4,,,8.0,,,5.5,,,5.0,,,5.0,,
"가정형편별",상위,36.1,12.4,52.3,30.8,14.5,89.0,18.6,7.6,69.1,9.3,1.5,19.2,7.9,2.6,49.1,7.0,2.6,59.1,5.6,1.9,51.4,6.0,2.2,57.9,4.9,1.2,32.4
"가정형편별",중위,37.7,14.8,64.6,33.7,17.4,106.7,15.9,5.7,55.9,7.4,-1.1,-12.9,5.8,1.1,23.4,5.7,1.7,42.5,4.9,0.8,19.5,4.1,0.9,28.1,3.7,0.6,19.4
"가정형편별",하위,36.7,12.0,48.6,31.6,14.0,79.5,13.8,0.8,6.2,10.2,0.1,1.0,9.2,2.5,37.3,6.8,0.7,11.5,7.6,2.7,55.1,5.8,1.8,45.0,6.9,2.6,60.5
"학업성적별",상위권,37.1,13.3,55.9,32.5,16.1,98.2,17.8,7.1,66.4,7.8,-0.4,-4.9,6.5,1.8,38.3,6.3,2.5,65.8,6.1,2.8,84.8,4.4,1.1,33.3,4.1,0.9,28.1
"학업성적별",중위권,37.7,14.5,62.5,33.7,17.7,110.6,15.7,5.0,46.7,7.4,-0.9,-10.8,5.9,0.4,7.3,5.6,0.9,19.1,4.6,0.1,2.2,4.3,0.5,13.2,3.7,0.0,0.0
"학업성적별",하위권,36.2,13.9,62.3,32.0,14.1,78.8,15.8,4.4,38.6,10.1,1.4,16.1,7.1,1.9,36.5,6.9,1.8,35.3,6.4,2.0,45.5,5.5,2.2,66.7,6.0,2.9,93.5
"사이버폭력 예방교육별",경험 있음,38.0,14.5,61.7,33.9,17.1,101.8,16.2,5.5,51.4,7.6,-0.7,-8.4,5.9,0.8,15.7,5.8,1.5,34.9,5.0,1.0,25.0,4.2,0.7,20.0,3.8,0.4,11.8
"사이버폭력 예방교육별",경험 없음,33.4,11.2,50.5,29.4,16.0,119.4,15.2,3.7,32.2,9.0,0.4,4.7,7.9,2.7,51.9,6.4,1.4,28.0,5.4,1.6,42.1,5.5,1.5,37.5,5.2,1.1,26.8
